00079_0	むじ無地ホワイト
00079_1	ベージュ
00079_2	ピンク
00079_3	イエロー
00079_4	グリーン
00079_5	ブルー
00079_6	ブラック
00725_0	むじ無地
00725_1	はる春
00725_2	なつ夏
00725_3	あき秋
00725_4	ふゆ冬
00833_0	なし
00833_1	クール
00833_2	キュート
00833_3	ポップ
00833_4	メッセージ
00922_0	なし
00922_1	ブルーロゴ
00922_2	ホワイトロゴ
00922_3	オレンジ
00922_4	リンゴ
00922_5	モモ
00922_6	ナシ
00922_7	さくらんぼ
00941_0	なし
00941_1	おなじみのロゴ
00941_2	シックなロゴ
00941_3	ハードなロゴ
00941_4	エンブレムなロゴ
00941_5	スクリプトなロゴ
00941_6	ポップなロゴ
00941_7	キュートなロゴ
00950_0	なし
00950_1	おなじみのロゴ
00950_2	シックなロゴ
00950_3	ハードなロゴ
00950_4	エンブレムなロゴ
00950_5	スクリプトなロゴ
00950_6	ポップなロゴ
00950_7	キュートなロゴ
01029_0	むじ無地
01029_1	はる春
01029_2	なつ夏
01029_3	あき秋
01029_4	ふゆ冬
01032_0	カフェ
01032_1	トラベルガイド
01032_2	ファッションし誌
01032_3	スポーツし誌
01032_4	コミックし誌
01032_5	キッズし誌
01032_6	しゅうかんし週刊誌
01133_0	ブルー
01133_1	レッド
01133_2	イエロー
01133_3	グリーン
01222_0	ホームビデオ
01222_1	SFえいが映画
01222_2	うたばんぐみ歌番組
01222_3	アニメ
01235_0	なし
01235_1	マナーポスター
01235_2	ぼしゅう募集チラシ
01235_3	りょこう旅行チラシ
01235_4	らくが落書き&ステッカー
01499_0	なし
01499_1	レッド
01499_2	ブルー
01499_3	イエロー
01500_0	なし
01500_1	レッドボーダー
01500_2	ブルーボーダー
01500_3	イエローボーダー
01501_0	なし
01501_1	ハート
01501_2	サカナ
01501_3	スター
01504_0	なし
01504_1	ホワイト
01504_2	トクダイドット
01504_3	トクダイボーダー
01608_0	すし寿司
01608_1	ちゅうか中華
01608_2	ベーカリー
01608_3	ファストフード
01608_4	アイスクリーム
01608_5	\0\0オープンOPEN
01608_6	ちょくばい直売
01608_7	かもん家紋
01620_0	カラフル
01620_1	カモフラージュ
01620_2	ハイビスカス
01620_3	ホワイト
01644_0	なし
01644_1	おなじみのロゴ
