105D,0,B68
105E,B68,17E0
105F,17E0,23EC
1060,23EC,3309
1061,3309,3C84
1062,3C84,437F
1069,437F,4BF9
106A,4BF9,59EF
106B,59EF,62D6
106C,62D6,6E52
111,6E52,75D4
1122,75D4,8024
114A,8024,8C65
1180,8C65,96FF
11AD,96FF,A188
11AE,A188,ABAF
11AF,ABAF,B5A7
11B0,B5A7,C008
11C5,C008,C852
120,C852,D2D2
1225,D2D2,DB1B
125E,DB1B,E30D
129,E30D,ECCF
141,ECCF,F6D1
1425,F6D1,1023F
1437,1023F,10E29
144,10E29,116AE
148,116AE,121CA
1486,121CA,12C57
149,12C57,133F6
14C,133F6,13C37
14C7,13C37,14599
14DB,14599,14FE8
1532,14FE8,157CE
1536,157CE,1604A
158D,1604A,1678B
165F,1678B,16F0D
1660,16F0D,17A22
1661,17A22,18558
1662,18558,18CFA
1663,18CFA,194A0
1664,194A0,19C4C
166D,19C4C,1A3FA
166E,1A3FA,1AC13
166F,1AC13,1B2A4
1670,1B2A4,1BBFC
16A1,1BBFC,1C5CA
16DB,1C5CA,1D05C
16E3,1D05C,1D70B
16E7,1D70B,1E2F7
1718,1E2F7,1ED80
172C,1ED80,1F800
175E,1F800,2006D
175F,2006D,20BFE
1760,20BFE,21A80
1761,21A80,2267A
1762,2267A,2323F
1763,2323F,23E8C
1764,23E8C,24B2B
1765,24B2B,256B2
1766,256B2,262CF
1767,262CF,26F2F
1768,26F2F,27AB6
1769,27AB6,28733
176A,28733,29215
176B,29215,29D82
176C,29D82,2A8CA
1B08,2A8CA,2B22E
1C17,2B22E,2BEE0
1C23,2BEE0,2CB77
1C2E,2CB77,2DA51
1C3C,2DA51,2E444
1C4D,2E444,2EE69
1C54,2EE69,2F946
1C63,2F946,30876
1C6E,30876,31262
1C87,31262,31E7D
1C8C,31E7D,32AAE
1C96,32AAE,33608
1CCE,33608,33E62
1CF3,33E62,3478D
1DE3,3478D,351C8
1E03,351C8,35CDA
1E04,35CDA,367B3
1E05,367B3,371EE
1E06,371EE,37D07
1E07,37D07,38833
