Name,Category,ID
clackercart,Housewares,0050
rocking horse,Housewares,0053
train set,Housewares,0055
elephant slide,Housewares,0056
ringtoss,Housewares,0058
moss ball,Housewares,006D
lucky cat,Housewares,0083
succulent plant,Housewares,0084
manhole cover,Housewares,0090
cone,Housewares,0092
exercise bike,Housewares,011F
treadmill,Housewares,0122
barbecue,Housewares,014A
birdbath,Housewares,014B
birdhouse,Housewares,014D
Mr. Flamingo,Housewares,014F
Mrs. Flamingo,Housewares,0150
lawn mower,Housewares,0152
tiki torch,Housewares,0157
acoustic guitar,Housewares,017F
grass standee,Housewares,0212
hedge standee,Housewares,0213
mountain standee,Housewares,0214
tree standee,Housewares,0215
stadiometer,Housewares,0222
beach chair,Housewares,0298
wave breaker,Housewares,0299
shaved-ice maker,Housewares,029B
ukulele,Housewares,029D
tall lantern,Housewares,02A4
deer scare,Housewares,02A5
boomerang,Housewares,02AA
bottled ship,Housewares,02AB
Dala horse,Housewares,02AD
pagoda,Housewares,02B0
paper tiger,Housewares,02B1
hula doll,Housewares,02B2
Statue of Liberty,Housewares,02B5
moai statue,Housewares,02BA
Tower of Pisa,Housewares,02BC
tapestry,Housewares,02C0
bamboo bench,Housewares,02C6
screen,Housewares,02CC
clay furnace,Housewares,02CD
hearth,Housewares,02D2
kettle,Housewares,02D4
paper lantern,Housewares,02D5
garden rock,Housewares,02D9
tall garden rock,Housewares,02DA
tea table,Housewares,02E3
fireplace,Housewares,02E6
tape deck,Housewares,0313
hi-fi stereo,Housewares,0316
jukebox,Housewares,0317
high-end stereo,Housewares,0319
phonograph,Housewares,031A
retro stereo,Housewares,031C
mush lamp,Housewares,0325
mush table,Housewares,0328
modern office chair,Housewares,0340
upright locker,Housewares,0341
safe,Housewares,0347
office desk,Housewares,0348
alto saxophone,Housewares,034E
amp,Housewares,0351
billiard table,Housewares,035F
bingo wheel,Housewares,0360
birdcage,Housewares,0361
book stands,Housewares,0366
breaker,Housewares,036B
wooden bucket,Housewares,0370
camp stove,Housewares,0379
holiday candle,Housewares,037B
cat tower,Housewares,0380
vacuum cleaner,Housewares,038B
upright vacuum,Housewares,038C
cuckoo clock,Housewares,0393
coffee cup,Housewares,0396
coffee grinder,Housewares,0398
pot rack,Housewares,03A0
air conditioner,Housewares,03A1
dartboard,Housewares,03A9
DJ's turntable,Housewares,03AD
effects rack,Housewares,03B6
espresso maker,Housewares,03BA
exit sign,Housewares,03BB
ventilation fan,Housewares,03BD
snack machine,Housewares,03CB
fruit basket,Housewares,03CF
go board,Housewares,03D5
harp,Housewares,03DB
incense burner,Housewares,03E5
kitchen island,Housewares,03E6
pile of leaves,Housewares,03FF
low screen,Housewares,0405
magazine rack,Housewares,0408
metronome,Housewares,0412
microwave,Housewares,0413
silver mic,Housewares,0415
mixer,Housewares,041A
moon,Housewares,041E
music stand,Housewares,0422
upright piano,Housewares,0439
picnic basket,Housewares,043A
pinball machine,Housewares,043F
popcorn machine,Housewares,0444
rocking chair,Housewares,044F
outdoor bath,Housewares,0457
colorful wheel,Housewares,0458
sandbox,Housewares,045C
sand castle,Housewares,045D
