ant00,0,CC2
ant01,CC2,18C3
ant02,18C3,24DD
ant03,24DD,3280
ant06,3280,3E84
ant08,3E84,4A40
ant09,4A40,5788
bea00,5788,696A
bea01,696A,7A4A
bea02,7A4A,8CDB
bea03,8CDB,9D2C
bea05,9D2C,AF50
bea06,AF50,C209
bea07,C209,D1A0
bea08,D1A0,E40D
bea09,E40D,F568
bea10,F568,107F2
bea11,107F2,11974
bea12,11974,12BAA
bea13,12BAA,13EB2
bea14,13EB2,15099
bea15,15099,16130
brd00,16130,16E09
brd01,16E09,17C8F
brd02,17C8F,188EB
brd03,188EB,194D9
brd04,194D9,1A221
brd05,1A221,1AF01
brd06,1AF01,1BC04
brd08,1BC04,1C9BF
brd11,1C9BF,1D6BF
brd15,1D6BF,1E734
brd16,1E734,1F586
brd17,1F586,201F1
brd18,201F1,20F1C
bul00,20F1C,221CE
bul01,221CE,2332D
bul03,2332D,2441B
bul05,2441B,253A4
bul07,253A4,264D4
bul08,264D4,27610
cat00,27610,287B5
cat01,287B5,299D6
cat02,299D6,2AC0A
cat03,2AC0A,2BD75
cat04,2BD75,2CFB6
cat05,2CFB6,2E366
cat06,2E366,2F572
cat07,2F572,3068C
cat08,3068C,31A8E
cat09,31A8E,32D3D
cat10,32D3D,34067
cat11,34067,3531B
cat12,3531B,36523
cat13,36523,37911
cat14,37911,38AF6
cat15,38AF6,39C27
cat16,39C27,3ADF6
cat17,3ADF6,3C083
cat18,3C083,3D1AB
cat19,3D1AB,3E404
cat20,3E404,3F597
cat21,3F597,407C2
cat23,407C2,41AFF
cbr00,41AFF,42BE5
cbr01,42BE5,43D5C
cbr02,43D5C,44F29
cbr03,44F29,46094
cbr04,46094,47174
cbr05,47174,4823F
cbr06,4823F,49271
cbr07,49271,4A1FC
cbr09,4A1FC,4B2A8
cbr10,4B2A8,4C2D8
cbr13,4C2D8,4D441
cbr14,4D441,4E545
cbr15,4E545,4F598
cbr16,4F598,5067D
cbr17,5067D,518F5
cbr18,518F5,527A0
cbr19,527A0,539A0
chn00,539A0,54810
chn01,54810,557E8
chn02,557E8,56844
chn05,56844,57819
chn09,57819,58718
chn10,58718,5961A
chn11,5961A,5A63D
chn12,5A63D,5B660
chn13,5B660,5C6C7
cow00,5C6C7,5D6FB
cow01,5D6FB,5E862
cow06,5E862,5F7F6
cow07,5F7F6,60646
crd00,60646,617BB
crd01,617BB,627C7
crd02,627C7,63794
crd04,63794,6457E
crd06,6457E,6558D
crd07,6558D,66480
crd08,66480,6773E
der00,6773E,6871B
der01,6871B,69BC7
der02,69BC7,6AE8D
der03,6AE8D,6C129
der04,6C129,6D1F7
der05,6D1F7,6E4B1
der06,6E4B1,6F3E0
der07,6F3E0,706F7
der08,706F7,71634
der09,71634,72AB1
der10,72AB1,73AB1
dog00,73AB1,749C9
dog01,749C9,759CA
